class,family_name,first_name,profession,ward_number,staff_uuid,phone_number
Patient,Palmer,Ryan,Design Engineer,2,,
Patient,Torres,Jesse,Chief Design Engineer,8,,
Patient,Thompson,Donald,Executive Secretary,2,,
Patient,Morgan,Elizabeth,Geological Engineer,9,,
Patient,Wagner,Katherine,Community Outreach Specialist,5,,
Patient,Lawrence,Helen,Dental Hygienist,5,,
Patient,Lynch,Bruce,Cost Accountant,9,,
Patient,Mccoy,Carlos,Product Engineer,5,,
Doctor,Hicks,Wayne,,,dhAYVjzBcWr,04 3533 7172
Nurse,Carter,Roger,,10,zkvSLm,
Doctor,Miller,Terry,,,233XRlgkGJU,04 7340 8907
Patient,Garrett,Johnny,Clinical Specialist,6,,
Patient,Palmer,Ronald,Environmental Specialist,6,,
Patient,Bryant,Jeremy,Nurse Practicioner,5,,
Nurse,Schmidt,Marilyn,,5,hARRr1Y,04 7658 3861
Nurse,Hudson,Mary,,8,MpZOcH2iO6,
Patient,Turner,Fred,Project Manager,9,,
Patient,Romero,Ronald,Junior Executive,4,,
Patient,Carroll,Cheryl,Chemical Engineer,2,,
Patient,Ross,Arthur,Analyst Programmer,1,,
Nurse,Duncan,Melissa,,2,64OXm5JZ5cf,
Patient,Howell,Mildred,Chief Design Engineer,9,,
Doctor,Hamilton,Russell,,,ZQmbQGBsr,04 0163 7347
Doctor,Reid,Cheryl,,,z0z9Dv7,04 8063 8521
Patient,Watson,Mark,Programmer Analyst I,4,,
Patient,Reynolds,Sandra,Developer I,10,,
Patient,Hunt,Steven,Compensation Analyst,8,,
Patient,Butler,Andrea,Nuclear Power Engineer,7,,
Patient,Smith,Philip,Senior Quality Engineer,2,,
Nurse,Carter,Sandra,,2,FmwgG1QiQv,
Nurse,Bishop,Peter,,3,gkvBnyVlKI,
Patient,Stewart,Sandra,Assistant Media Planner,3,,
Patient,Perkins,Joan,Executive Secretary,4,,
Patient,Hawkins,Carlos,Design Engineer,,,
Patient,Tucker,Kenneth,Help Desk Technician,7,,
Patient,Fisher,Gregory,Librarian,3,,
Patient,Reed,Nicole,Geological Engineer,7,,
Patient,Reynolds,Angela,Quality Control Specialist,10,,
Patient,Cruz,Deborah,Sales Representative,2,,
Patient,Gordon,Judy,Safety Technician II,7,,
Patient,Wright,Eugene,VP Product Management,,,
Nurse,Gomez,Jack,,10,ibQ8FzF8cW,04 1080 6249
Nurse,Roberts,Nancy,,10,thvc8TFdmj,
Patient,Mitchell,Kevin,Social Worker,2,,
Nurse,Austin,Joe,,8,pVbLOGlbIo,
Patient,Meyer,Terry,Food Chemist,10,,
Doctor,Brown,Melissa,,,N82lhTERSot,04 1125 4832
Patient,Gibson,Joseph,Software Consultant,1,,
Patient,Martinez,Kimberly,Automation Specialist II,7,,
Patient,Sanders,Barbara,Quality Control Specialist,1,,
Patient,Clark,Alan,Technical Writer,10,,
Patient,Ramos,Pamela,Computer Systems Analyst IV,,,
Patient,King,Ruth,Assistant Professor,5,,
Nurse,Willis,Jennifer,,8,YTEDLebew36,04 1730 7716
Nurse,Burns,Michelle,,8,H1g7pn,
Ward,,,,7,,02 9981 2098
Patient,Adams,George,Help Desk Technician,9,,
Patient,Hicks,Cynthia,Chief Design Engineer,7,,
Patient,King,Jeffrey,Marketing Manager,9,,
Patient,Wheeler,Nancy,Civil Engineer,4,,
Patient,Fields,Douglas,Quality Control Specialist,8,,
Patient,Henry,Ruby,Software Engineer IV,3,,
Nurse,Gonzales,Tina,,2,3WBw7q31DIl,
Patient,Dunn,Juan,GIS Technical Architect,3,,
Nurse,Knight,Harold,,7,6miByTvoKhtA,04  677 3076
Nurse,Hawkins,Shawn,,9,ROa8qliIDx2l,
Patient,Stewart,Eric,Registered Nurse,,,
Patient,Sanchez,Norma,Senior Developer,5,,
Nurse,Kelley,Robin,,1,180Twcu,
Patient,Gutierrez,Howard,Food Chemist,6,,
Patient,Miller,Andrea,Assistant Professor,2,,
Patient,Martin,Ralph,Web Developer IV,8,,
Patient,Jones,Mark,Recruiter,5,,
Patient,Reyes,Lillian,Senior Developer,6,,
Patient,Peters,Tina,Senior Quality Engineer,9,,
Nurse,Cunningham,Randy,,9,3E8glZzeeVEI,
Patient,Lawson,Anna,Design Engineer,8,,
Patient,Russell,Gloria,Technical Writer,,,
Nurse,Gonzales,Steven,,10,S4ayZ2cI5,04 7511 9361
Patient,Stevens,Timothy,VP Product Management,4,,
Doctor,Andrews,Paul,,,ePhhjCnGlb,04 8325 2084
Patient,Oliver,Ashley,Associate Professor,6,,
Patient,Campbell,Joe,Engineer II,8,,
Patient,Garrett,Louis,Chief Design Engineer,,,
Patient,Carroll,Martha,Environmental Specialist,10,,
Patient,Webb,Mildred,GIS Technical Architect,6,,
Patient,Wright,Emily,Librarian,1,,
Patient,Rivera,Sara,Paralegal,7,,
Doctor,Bailey,Tammy,,,JH5b7nu,04 7751 6590
Patient,Hughes,Peter,Junior Executive,6,,
Patient,Riley,Jeremy,Help Desk Technician,2,,
Patient,Jenkins,George,Assistant Media Planner,4,,
Patient,Rogers,Shirley,Research Assistant IV,2,,
Patient,Edwards,Beverly,Associate Professor,4,,
Patient,Sanders,Catherine,Recruiting Manager,9,,
Nurse,Long,Emily,,6,8ew5TChN,
Patient,Rice,Gary,VP Quality Control,,,
Patient,Fowler,Rebecca,VP Accounting,9,,
Patient,Nelson,Nicole,Librarian,1,,
Patient,Campbell,Craig,Senior Cost Accountant,9,,
Patient,Morrison,Doris,Speech Pathologist,9,,
Patient,Porter,Sharon,Assistant Professor,2,,
Patient,Richards,Jerry,Nurse Practicioner,4,,
Patient,Burns,Jean,Nurse,10,,
Nurse,Welch,Nicole,,6,Rvywp6o3,
Patient,Payne,Mark,Developer I,9,,
Patient,Harris,Louise,Clinical Specialist,,,
Patient,Adams,Helen,Environmental Specialist,9,,
Patient,Washington,Nicholas,Marketing Manager,3,,
Patient,Grant,Joshua,Chemical Engineer,9,,
Patient,Foster,Daniel,Product Engineer,,,
Patient,Taylor,Donald,Statistician III,6,,
Patient,Scott,Johnny,Senior Developer,,,
Patient,Marshall,Edward,Staff Scientist,3,,
Patient,Garza,Maria,Analyst Programmer,5,,
Patient,Nelson,Kenneth,Assistant Professor,6,,
Patient,Fields,Jesse,Graphic Designer,4,,
Patient,Elliott,Gregory,Operator,5,,
